run_id,t_s,frac_complete
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1000,0,0.130435
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1000,0.25,0.956522
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1000,1.25,1
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1000,0,0
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1000,0.25,0.217391
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1000,0.5,0.782609
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1000,0.75,0.826087
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1000,1.25,0.956522
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1000,2,1
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1000,0,0
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1000,0.5,0.0869565
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1000,0.75,0.434783
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1000,1.25,0.565217
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1000,1.5,0.608696
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1000,1.75,0.869565
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1000,2,1
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1000,0,0.0491803
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1000,0.25,0.639344
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1000,0.5,0.754098
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1000,1.25,0.885246
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1000,1.5,0.901639
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1000,1.75,0.95082
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1000,2,1
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1000,0,0
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1000,0.25,0.442623
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1000,0.5,0.590164
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1000,0.75,0.639344
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1000,1,0.655738
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1000,1.25,0.737705
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1000,1.5,0.918033
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1000,1.75,0.967213
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1000,2.25,0.983607
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1000,3.25,1
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1000,0,0
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1000,0.25,0.0491803
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1000,0.5,0.196721
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1000,0.75,0.344262
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1000,1,0.360656
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1000,1.25,0.409836
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1000,1.5,0.639344
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1000,1.75,0.868852
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1000,2.25,0.918033
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1000,2.5,0.95082
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1000,2.75,0.983607
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1000,3,1
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1000,0,0.040404
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1000,0.25,0.565657
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1000,0.5,0.59596
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1000,0.75,0.606061
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1000,1.25,0.79798
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1000,1.5,0.919192
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1000,2.25,0.979798
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1000,2.75,1
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1000,0,0
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1000,0.25,0.151515
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1000,0.5,0.343434
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1000,0.75,0.414141
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1000,1.25,0.616162
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1000,1.5,0.717172
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1000,1.75,0.777778
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1000,2,0.818182
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1000,2.25,0.888889
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1000,2.5,0.939394
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1000,2.75,0.979798
