run_id,t_s,frac_complete
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1002,0,0
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1002,0.25,0.826087
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1002,0.5,0.956522
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1002,2,1
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1002,0,0
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1002,0.25,0.521739
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1002,0.5,0.826087
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1002,0.75,0.869565
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1002,1.25,1
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1002,0,0
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1002,0.5,0.173913
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1002,0.75,0.521739
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1002,1,0.782609
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1002,1.5,0.826087
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1002,1.75,0.913043
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1002,2,0.956522
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1002,2.5,1
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1002,0,0.0327869
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1002,0.25,0.721311
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1002,0.5,0.754098
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1002,1.25,0.868852
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1002,1.5,0.983607
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1002,1.75,1
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1002,0,0
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1002,0.25,0.311475
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1002,0.5,0.57377
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1002,1.25,0.688525
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1002,1.5,0.852459
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1002,1.75,0.934426
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1002,2,0.95082
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1002,2.5,0.967213
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1002,2.75,1
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1002,0,0
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1002,0.25,0.0491803
